timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1728914959277,7179,Homepage Test,200,OK,Thread Group 1-25,text,true,,48544,192,39,39,https://automationexercise.com/products,4237,0,1620
1728914964167,2291,Homepage Test,200,OK,Thread Group 1-14,text,true,,48544,192,39,39,https://automationexercise.com/products,1624,0,0
1728914960807,5655,Homepage Test,200,OK,Thread Group 1-15,text,true,,48542,192,38,38,https://automationexercise.com/products,1691,0,0
1728914965803,1006,Homepage Test,200,OK,Thread Group 1-22,text,true,,48548,192,38,38,https://automationexercise.com/products,896,0,0
1728914963488,3381,Homepage Test,200,OK,Thread Group 1-46,text,true,,48540,192,38,38,https://automationexercise.com/products,3213,0,2303
1728914962678,4598,Homepage Test,200,OK,Thread Group 1-42,text,true,,48542,192,38,38,https://automationexercise.com/products,4481,0,1803
1728914961079,6208,Homepage Test,200,OK,Thread Group 1-34,text,true,,48548,192,38,38,https://automationexercise.com/products,3089,0,1777
1728914963679,3640,Homepage Test,200,OK,Thread Group 1-47,text,true,,48548,192,38,38,https://automationexercise.com/products,3597,0,2364
1728914966102,1340,Homepage Test,200,OK,Thread Group 1-31,text,true,,48546,192,38,38,https://automationexercise.com/products,1260,0,0
1728914963880,3675,Homepage Test,200,OK,Thread Group 1-48,text,true,,48556,192,38,38,https://automationexercise.com/products,3563,0,2163
1728914966526,1394,Homepage Test,200,OK,Thread Group 1-43,text,true,,48548,192,38,38,https://automationexercise.com/products,1084,0,0
1728914966762,1502,Homepage Test,200,OK,Thread Group 1-15,text,true,,48544,192,38,38,https://automationexercise.com/products,1389,0,0
1728914966762,1508,Homepage Test,200,OK,Thread Group 1-25,text,true,,48542,192,38,38,https://automationexercise.com/products,1316,0,0
1728914963279,5100,Homepage Test,200,OK,Thread Group 1-45,text,true,,48556,192,38,38,https://automationexercise.com/products,4992,0,2512
1728914967124,1374,Homepage Test,200,OK,Thread Group 1-22,text,true,,48544,192,38,38,https://automationexercise.com/products,1254,0,0
1728914960692,7987,Homepage Test,200,OK,Thread Group 1-8,text,true,,48546,192,37,37,https://automationexercise.com/products,5096,0,0
1728914967171,1760,Homepage Test,200,OK,Thread Group 1-46,text,true,,48548,192,36,36,https://automationexercise.com/products,1515,0,0
1728914967754,1525,Homepage Test,200,OK,Thread Group 1-31,text,true,,48546,192,36,36,https://automationexercise.com/products,1249,0,0
1728914963079,6204,Homepage Test,200,OK,Thread Group 1-44,text,true,,48550,192,36,36,https://automationexercise.com/products,3790,0,2712
1728914962120,7163,Homepage Test,200,OK,Thread Group 1-21,text,true,,48544,192,36,36,https://automationexercise.com/products,920,0,0
1728914968226,1116,Homepage Test,200,OK,Thread Group 1-43,text,true,,48560,192,36,36,https://automationexercise.com/products,1108,0,0
1728914968571,955,Homepage Test,200,OK,Thread Group 1-15,text,true,,48558,192,36,36,https://automationexercise.com/products,779,0,0
1728914968571,1030,Homepage Test,200,OK,Thread Group 1-25,text,true,,48544,192,35,35,https://automationexercise.com/products,820,0,0
1728914963875,5727,Homepage Test,200,OK,Thread Group 1-26,text,true,,48548,192,35,35,https://automationexercise.com/products,2994,0,0
1728914968681,960,Homepage Test,200,OK,Thread Group 1-45,text,true,,48544,192,35,35,https://automationexercise.com/products,920,0,0
1728914964167,5530,Homepage Test,200,OK,Thread Group 1-18,text,true,,48550,192,35,35,https://automationexercise.com/products,2524,0,0
1728914960754,8943,Homepage Test,200,OK,Thread Group 1-16,text,true,,48548,192,35,35,https://automationexercise.com/products,1569,0,0
1728914962494,7271,Homepage Test,200,OK,Thread Group 1-41,text,true,,48548,192,35,35,https://automationexercise.com/products,7265,0,6438
1728914964293,5708,Homepage Test,200,OK,Thread Group 1-50,text,true,,48550,192,35,35,https://automationexercise.com/products,5057,0,2867
1728914964167,5891,Homepage Test,200,OK,Thread Group 1-11,text,true,,48548,192,35,35,https://automationexercise.com/products,1684,0,0
1728914962278,7844,Homepage Test,200,OK,Thread Group 1-40,text,true,,48544,192,34,34,https://automationexercise.com/products,7780,0,7008
