timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1728915160569,464,Homepage Test,200,OK,Thread Group 1-13,text,true,,7313,189,18,18,https://automationexercise.com/login,464,0,0
1728915160566,486,Homepage Test,200,OK,Thread Group 1-6,text,true,,7311,189,18,18,https://automationexercise.com/login,467,0,0
1728915160680,417,Homepage Test,200,OK,Thread Group 1-18,text,true,,7315,189,17,17,https://automationexercise.com/login,372,0,0
1728915160425,672,Homepage Test,200,OK,Thread Group 1-21,text,true,,7313,189,17,17,https://automationexercise.com/login,672,0,252
1728915160746,352,Homepage Test,200,OK,Thread Group 1-10,text,true,,7313,189,17,17,https://automationexercise.com/login,352,0,0
1728915160849,320,Homepage Test,200,OK,Thread Group 1-19,text,true,,7319,189,17,17,https://automationexercise.com/login,314,0,0
1728915160978,302,Homepage Test,200,OK,Thread Group 1-16,text,true,,7319,189,17,17,https://automationexercise.com/login,300,0,0
1728915160979,301,Homepage Test,200,OK,Thread Group 1-15,text,true,,7317,189,17,17,https://automationexercise.com/login,299,0,0
1728915161090,360,Homepage Test,200,OK,Thread Group 1-20,text,true,,7315,189,18,18,https://automationexercise.com/login,360,0,0
1728915161216,308,Homepage Test,200,OK,Thread Group 1-11,text,true,,7315,189,19,19,https://automationexercise.com/login,308,0,0
1728915161215,310,Homepage Test,200,OK,Thread Group 1-17,text,true,,7309,189,18,18,https://automationexercise.com/login,309,0,0
1728915160817,771,Homepage Test,200,OK,Thread Group 1-23,text,true,,7325,189,18,18,https://automationexercise.com/login,762,0,470
1728915161332,256,Homepage Test,200,OK,Thread Group 1-14,text,true,,7311,189,18,18,https://automationexercise.com/login,256,0,0
1728915161332,258,Homepage Test,200,OK,Thread Group 1-9,text,true,,7311,189,18,18,https://automationexercise.com/login,258,0,0
1728915161332,259,Homepage Test,200,OK,Thread Group 1-12,text,true,,7315,189,17,17,https://automationexercise.com/login,258,0,0
1728915161334,295,Homepage Test,200,OK,Thread Group 1-13,text,true,,7317,189,16,16,https://automationexercise.com/login,257,0,0
1728915161399,300,Homepage Test,200,OK,Thread Group 1-18,text,true,,7315,189,16,16,https://automationexercise.com/login,298,0,0
1728915161398,302,Homepage Test,200,OK,Thread Group 1-21,text,true,,7315,189,16,16,https://automationexercise.com/login,301,0,0
1728915161470,286,Homepage Test,200,OK,Thread Group 1-19,text,true,,7311,189,17,17,https://automationexercise.com/login,286,0,0
1728915160618,1140,Homepage Test,200,OK,Thread Group 1-22,text,true,,7315,189,17,17,https://automationexercise.com/login,1139,0,485
1728915161581,246,Homepage Test,200,OK,Thread Group 1-15,text,true,,7319,189,17,17,https://automationexercise.com/login,242,0,0
1728915161581,246,Homepage Test,200,OK,Thread Group 1-16,text,true,,7315,189,17,17,https://automationexercise.com/login,246,0,0
1728915161017,932,Homepage Test,200,OK,Thread Group 1-24,text,true,,7311,189,18,18,https://automationexercise.com/login,928,0,270
1728915161751,254,Homepage Test,200,OK,Thread Group 1-20,text,true,,7313,189,18,18,https://automationexercise.com/login,254,0,0
1728915161826,246,Homepage Test,200,OK,Thread Group 1-17,text,true,,7309,189,18,18,https://automationexercise.com/login,245,0,0
1728915161618,455,Homepage Test,200,OK,Thread Group 1-27,text,true,,7317,189,18,18,https://automationexercise.com/login,455,0,215
1728915161217,898,Homepage Test,200,OK,Thread Group 1-25,text,true,,7317,189,19,19,https://automationexercise.com/login,898,0,237
1728915161889,295,Homepage Test,200,OK,Thread Group 1-23,text,true,,7319,189,19,19,https://automationexercise.com/login,294,0,0
